function,strategy
"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""


    sorted_numbers = sorted(numbers)
    for i in range(len(sorted_numbers) - 1):
        if sorted_numbers[i + 1] - sorted_numbers[i] < threshold:
            return True
    return False

","from hypothesis.strategies import one_of, lists, integers, floats

numbers = lists(one_of(integers(), floats()), max_size=20)
threshold = floats(min_value=0.0, exclude_min=True)

strategy = numbers, threshold
"
"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""


    cnt, group, results = 0, """", []
    for ch in paren_string:
        if ch == ""("": cnt += 1
        if ch == "")"": cnt -= 1
        if ch != "" "": group += ch
        if cnt == 0:
            if group != """": results.append(group)
            group = """"
    return results

","# Error in CONTRACTs: Does not check that cnt == 0 at end!

from hypothesis.strategies import just, lists, recursive

def paren_helper():
    base = just(' ') | just('')
    return recursive(base, lists)

def to_paren(s):
    s = ''.join(str(x) for x in s)
    s = s.replace('[', '(').replace(']', ')').replace(',', '').replace(""'"", '')
    return s

def paren_string():
    return paren_helper().map(to_paren)

strategy = paren_string()
"
"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""


    return number - int(number)

","# Grount truth is incorrect! What about nan and inf?

from hypothesis.strategies import floats

number = floats(min_value=0.0, exclude_min=True, allow_nan=False, allow_infinity=False)

strategy = number
"
"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""

    account = 0
    for operation in operations:
        account += operation
        if account < 0:
            return True
    return False

","from hypothesis.strategies import integers, lists

operations = lists(integers(), max_size=20)

strategy = operations
"
"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""

    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)

","from hypothesis.strategies import lists, floats

numbers = lists(floats(), min_size=1, max_size=20)

strategy = numbers
"
"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""


    res = []
    for i in range(len(numbers)):
        res.append(numbers[i])
        if i != len(numbers) - 1:
            res.append(delimeter)
    return res

","from hypothesis.strategies import integers, lists

numbers = lists(integers(), max_size=20)
delimiter = integers()

strategy = numbers, delimiter
"
"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""

    
    def count_depth(s: str) -> int:
        max_depth, cnt = 0, 0
        for ch in s:
            if ch == ""("": cnt += 1
            if ch == "")"": cnt -= 1
            max_depth = max(max_depth, cnt)
        return max_depth
    
    return [count_depth(s) for s in paren_string.split("" "") if s != """"]

","# Error in CONTRACTs: Does not check that cnt == 0 at end!

from hypothesis.strategies import just, lists, recursive
from hypothesis import given

def paren_helper():
    base = just(' ') | just('')
    return recursive(base, lists)

def to_paren(s):
    s = ''.join(str(x) for x in s)
    s = s.replace('[', '(').replace(']', ')').replace(',', '').replace(""'"", '')
    return s

def paren_string():
    return paren_helper().map(to_paren)

strategy = paren_string()
"
"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""

    return list(filter(lambda s: substring in s, strings))

","from hypothesis.strategies import lists, text

strings = lists(text(alphabet='ab'), max_size=20)
substring = text(alphabet='ab')

strategy = strings, substring
"
"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""

    s, p = 0, 1
    for number in numbers:
        s += number
        p *= number
    return s, p

","from hypothesis.strategies import lists, integers

numbers = lists(integers(min_value=--500, max_value=500), max_size=20)

strategy = numbers
"
"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""

    return [max(numbers[:(i+1)]) for i in range(len(numbers))]

","from hypothesis.strategies import lists, integers

numbers = lists(integers(min_value=--500, max_value=500), max_size=20)

strategy = numbers
"
"

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""

    if is_palindrome(string):
        return string
    for i in range(len(string)):
        if is_palindrome(string[i:]):
            return string + string[i-1::-1]

","from hypothesis.strategies import text

string = text(alphabet=""abcd"", max_size=20)

strategy = string
"
